X,Y,OBJECTID,Status,Score,Match_addr,ShortLabel,USER_Year,USER_County,USER_District,USER_CDS2,USER_Name,USER_Street,USER_City,USER_State,USER_Zip,USER_Type,USER_Accommodations,USER_Classification,USER_LowGrade,USER_HighGrade,USER_EnrollK,USER_Enroll1,USER_Enroll2,USER_Enroll3,USER_Enroll4,USER_Enroll5,USER_Enroll6,USER_Enroll7,USER_Enroll8,USER_Enroll9,USER_Enroll10,USER_Enroll11,USER_Enroll12,USER_TotalEnroll,USER_PrevYearGrads,USER_FullTimeTeach,USER_PartTimeTeach,USER_Administrators,USER_OtherStaff,USER_TaxExempt,USER_CDS,USER_EnrollK5,USER_Enroll68,USER_Enroll912,COUNTY_NAM,CO_TEST,CO_TEST_Note
-13560852.2454,4537801.8918,56,M,98.48,"3110 Constitution Dr, Livermore, California, 94551",3110 Constitution Dr,2024-25,Alameda,Livermore Valley Joint Unified,A01612006159180,Acton Academy East Bay,3110 Constitution Drive,Livermore,CA,94551,Coeducational,Day Only,Non-Religious,Kindergarten,Twelfth Grade,1,2,4,2,2,3,2,1,3,0,0,0,0,20,0,3,3,2,1,No,01612006159180,14,6,0,Alameda,1,
-13556914.4881,4531508.128,57,M,98.48,"945 Concannon Blvd, Livermore, California, 94550",945 Concannon Blvd,2024-25,Alameda,Livermore Valley Joint Unified,A01612006153472,King's Classical Academy,945 Concannon Blvd,Livermore,CA,94550,Coeducational,Day Only,Nondenominational,Kindergarten,Twelfth Grade,11,11,8,13,2,6,9,15,2,4,2,6,3,92,2,8,5,3,0,Yes,01612006153472,51,26,15,Alameda,1,
-13551389.5614,4538500.1137,58,M,98.48,"1135 Bluebell Dr, Livermore, California, 94551",1135 Bluebell Dr,2024-25,Alameda,Livermore Valley Joint Unified,A01612006167621,Celebration Life Academy,1135 Bluebell Drive,Livermore,CA,94551,Coeducational,Day Only,Charismatic,Kindergarten,Sixth Grade,7,4,3,2,2,0,0,0,0,0,0,0,0,18,0,2,2,1,0,Yes,01612006167621,18,0,0,Alameda,1,
-13557888.4444,4531950.1445,59,M,98.48,"1701 El Padro Dr, Livermore, California, 94550",1701 El Padro Dr,2024-25,Alameda,Livermore Valley Joint Unified,A01612006167480,Summa Academy,1701 El Padro Dr. ,Livermore,CA,94550,Coeducational,Day Only,Non-Religious,Sixth Grade,Ninth Grade,0,0,0,0,0,0,4,6,5,7,0,0,0,22,0,3,0,9,13,No,01612006167480,0,15,7,Alameda,1,
-13555546.5153,4536473.1384,60,M,98.49,"1273 N Livermore Ave, Livermore, California, 94551",1273 N Livermore Ave,2024-25,Alameda,Livermore Valley Joint Unified,A01612006900773,Valley Montessori School,1273 N. Livermore Avenue,Livermore,CA,94551,Coeducational,Day Only,Non-Religious,Kindergarten,Eighth Grade ,35,29,27,24,27,18,26,24,20,0,0,0,0,230,0,62,8,13,4,Yes,01612006900773,160,70,0,Alameda,1,
-13554668.3013,4534708.1385,61,M,98.48,"345 Church St, Livermore, California, 94550",345 Church St,2024-25,Alameda,Livermore Valley Joint Unified,A01612006967525,St. Michael School,345 Church Street,Livermore,CA,94550,Coeducational,Day Only,Catholic,Kindergarten,Eighth Grade ,21,25,19,25,26,15,16,16,14,0,0,0,0,177,0,10,2,6,9,No,01612006967525,131,46,0,Alameda,1,
-13584058.5067,4514514.9796,62,M,98.48,"5788 Thornton Ave, Newark, California, 94560",5788 Thornton Ave,2024-25,Alameda,Newark Unified,A01612346972921,St. Edward Parish,"5788 Thornton Avenue, Bldg. D",Newark,CA,94560,Coeducational,Day Only,Catholic,Kindergarten,Eighth Grade ,28,25,30,25,23,30,35,27,36,0,0,0,0,259,0,11,3,1,17,Yes,01612346972921,161,98,0,Alameda,1,
-13581503.082,4511442.0043,63,M,98.48,"39399 Cherry St, Newark, California, 94560",39399 Cherry St,2024-25,Alameda,Newark Unified,A01612347045446,Stellar Academy for Dyslexics,39399 Cherry St,Newark,CA,94560,Coeducational,Day Only,Non-Religious,Fourth Grade,Eighth Grade ,0,0,0,0,1,1,3,1,7,0,0,0,0,13,0,3,3,2,0,Yes,01612347045446,2,11,0,Alameda,1,
-13586989.5569,4515643.0658,64,M,98.48,"35487 Dumbarton Ct, Newark, California, 94560",35487 Dumbarton Ct,2024-25,Alameda,Newark Unified,A01612347055411,Challenger School – Ardenwood,35487 Dumbarton Court,Newark,CA,94560,Coeducational,Day Only,Non-Religious,Kindergarten,Eighth Grade ,102,127,122,101,93,75,57,48,43,0,0,0,0,768,0,42,0,4,38,Yes,01612347055411,620,148,0,Alameda,1,
-13553449.4051,4533065.6792,65,M,95.72,"1385 S Livermore Ave, Livermore, California, 94550",1385 S Livermore Ave,2024-25,Alameda,Livermore Valley Joint Unified,A01612006995583,Our Savior Lutheran School,"1385 South Livermore Avenue, 1385 South Livermore Avenue",Livermore,CA,94550,Coeducational,Day Only,Lutheran,Kindergarten,Eighth Grade ,47,46,46,50,50,51,46,34,21,0,0,0,0,391,0,22,16,2,6,Yes,01612006995583,290,101,0,Alameda,1,
-13584656.7533,4513552.3755,66,M,98.48,"37053 Cherry St, Newark, California, 94560",37053 Cherry St,2024-25,Alameda,Newark Unified,A01612347047236,New Horizons School,37053 Cherry Street,Newark,CA,94560,Coeducational,Day Only,Non-Religious,Kindergarten,Eighth Grade ,5,8,11,7,10,2,5,6,1,0,0,0,0,55,0,12,0,3,2,No,01612347047236,43,12,0,Alameda,1,
-13583973.0066,4524193.4091,67,M,98.48,"250 Tamarack Dr, Union City, California, 94587",250 Tamarack Dr,2024-25,Alameda,New Haven Unified,A01612426138648,Mission Hills Middle School,250 Tamarack Drive,Union City,CA,94587,Coeducational,Day Only,Non-Religious,Kindergarten,Eighth Grade ,70,36,26,37,46,48,55,57,34,0,0,0,0,409,0,33,1,7,8,No,01612426138648,263,146,0,Alameda,1,
-13583167.1457,4523039.8217,68,M,98.48,"600 G St, Union City, California, 94587",600 G St,2024-25,Alameda,New Haven Unified,A01612427077548,Seneca Family of Agencies - Pathfinder Academy,600 G Street,Union City,CA,94587,Coeducational,Day Only,Non-Religious,Sixth Grade,Twelfth Grade,0,0,0,0,0,0,2,4,2,4,5,2,5,24,3,4,1,4,20,Yes,01612427077548,0,8,16,Alameda,1,
-13580760.0044,4512097.9147,69,M,98.48,"39600 Cedar Blvd, Newark, California, 94560",39600 Cedar Blvd,2024-25,Alameda,Newark Unified,A01612347091234,Challenger School - Newark,39600 Cedar Boulevard,Newark,CA,94560,Coeducational,Day Only,Non-Religious,Kindergarten,Kindergarten,54,0,0,0,0,0,0,0,0,0,0,0,0,54,0,6,0,1,2,Yes,01612347091234,54,0,0,Alameda,1,
-13584835.324,4521854.3976,70,M,98.48,"33700 Alvarado Niles Rd, Union City, California, 94587",33700 Alvarado Niles Rd,2024-25,Alameda,New Haven Unified,A01612427088743,Union City Christian School,33700 Alvarado Niles Road,Union City,CA,94587,Coeducational,Day Only,Apostolic,Kindergarten,Twelfth Grade,8,8,3,7,6,8,5,8,2,0,1,1,3,60,3,7,0,1,2,Yes,01612427088743,40,15,5,Alameda,1,
-13599615.7466,4549793.2258,71,M,98.48,"12500 Campus Dr, Oakland, California, 94619",12500 Campus Dr,2024-25,Alameda,Oakland Unified,A01612596134100,Baywood Learning Centers,12500 Campus Drive,Oakland,CA,94619,Coeducational,Day Only,Non-Religious,Kindergarten,Twelfth Grade,5,8,2,5,3,5,5,5,8,4,5,8,8,71,0,0,10,3,5,No,01612596134100,28,18,25,Alameda,1,
