"school","address","public_vs_private","school_type","greatschools_rating","greatschools_rating_as_of","greatschools_profile_url","private_staffing_proxy_rating","private_staffing_proxy_basis","rating_notes","cds_code","latitude","longitude","geocode_matched_address","geocode_match_method","geocode_source","geocode_data_as_of"
"KZV Armenian School","825 Brotherhood Way, San Francisco, CA 94132","Private","Elementary/Middle School","","","","8","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","5.4 reported students per estimated teacher FTE","38684786913123","37.7138405","-122.4783178","825 BROTHERHOOD WAY","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"La Scuola International School","3250 18Th Street, San Francisco, CA 94110","Private","Elementary/Middle School","","","","8.8","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","3.9 reported students per estimated teacher FTE","38684786144257","37.7621152","-122.4164214","3250 18TH ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Lakeside Presbyterian Center for Children","201 Eucalyptus Dr, San Francisco, CA 94132","Private","Elementary School","","","","9.7","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","1.7 reported students per estimated teacher FTE","38684786906176","37.7307755","-122.4751942","201 EUCALYPTUS DR","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Lick-Wilmerding High School","755 Ocean Avenue, San Francisco, CA 94112","Private","High School","","","","5.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","9.6 reported students per estimated teacher FTE","38684786939649","37.7227804","-122.4489943","755 OCEAN AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Live Oak School","1555 Mariposa Street, San Francisco, CA 94107","Private","Elementary/Middle School","","","","6.3","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","7.5 reported students per estimated teacher FTE","38684786981377","37.7635566","-122.3994639","1555 MARIPOSA ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Lycee Francais de San Francisco (Ashbury)","755 Ashbury Street, San Francisco, CA 94117","Private","Elementary School","","","","2.6","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","15.3 reported students per estimated teacher FTE","38684786146369","37.7679695","-122.4469684","755 ASHBURY ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Lycee Francais de San Francisco (Ortega)","1201 Ortega Street, San Francisco, CA 94122","Private","Middle/High School","","","","6.2","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","7.5 reported students per estimated teacher FTE","38684786939664","37.7519875","-122.4768277","1201 ORTEGA ST","Exact DataSF address; source ZIP differs","DataSF Enterprise Addressing System","2026-09-21"
"MEADOWS-LIVINGSTONE SCHOOL","1499 Potrero Ave, San Francisco, CA 94110-3534","Private","Elementary/Middle School","","","","8.9","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","3.8 reported students per estimated teacher FTE","38103896159537","37.7495834","-122.4050322","1499 POTRERO AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Meadows-livingstone school","1499 Potrero Ave Suite 1, San Francisco, CA 94110","Private","Elementary School","","","","8.5","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","4.4 reported students per estimated teacher FTE","38684786909600","37.7495834","-122.4050322","1499 POTRERO AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Mission Dolores Academy","3371 16Th Street, San Francisco, CA 94114","Private","Elementary/Middle School","","","","3.6","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","12.6 reported students per estimated teacher FTE","38684786981716","37.7644346","-122.4280505","3371 16TH ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"My City School","855 27Th Ave., San Francisco, CA 94121","Private","K-12/Combined School","","","","9.6","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","1.8 reported students per estimated teacher FTE","38684786154702","37.7735232","-122.4868952","855 27TH AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Nativity","360 9Th Ave, San Francisco, CA 94118","Private","High School","","","","7.7","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","5.9 reported students per estimated teacher FTE","38684786169627","37.7818323","-122.4670126","360 09TH AVE","DataSF normalized street match","DataSF Enterprise Addressing System","2026-09-21"
"Our Lady of the Visitacion Elementary","785 Sunnydale Ave, San Francisco, CA 94134","Private","Elementary/Middle School","","","","1.3","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","22.1 reported students per estimated teacher FTE","38684786981559","37.7091207","-122.4095424","785 SUNNYDALE AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Presidio Hill School","3839 Washington Street, San Francisco, CA 94118","Private","Elementary/Middle School","","","","6.4","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","7.3 reported students per estimated teacher FTE","38684786205652","37.7885837","-122.4560599","3839 WASHINGTON ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Presidio Knolls School","250 10Th Street, San Francisco, CA 94103","Private","Elementary/Middle School","","","","9.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","3.2 reported students per estimated teacher FTE","38684786144034","37.77319","-122.4137055","250 10TH ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Proof School","973 Mission St, San Francisco, CA 94103","Private","Middle/High School","","","","7.8","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","5.7 reported students per estimated teacher FTE","38684786150254","37.7812921","-122.4080657","973 MISSION ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Red Bridge","2265 Third Street, San Francisco, CA 94107","Private","Elementary/Middle School","","","","7","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","6.5 reported students per estimated teacher FTE","38684786140974","37.7611772","-122.3881306","2265 03RD ST","DataSF normalized street match","DataSF Enterprise Addressing System","2026-09-21"
"Rise University Preparatory","1224 Fairfax Avenue, San Francisco, CA 94124","Private","High School","","","","7","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","6.5 reported students per estimated teacher FTE","38684786152532","37.7385275","-122.3820313","1224 FAIRFAX AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Sacred Heart Cathedral Preparatory","1055 Ellis Street, San Francisco, CA 94109","Private","High School","","","","3.2","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","13.6 reported students per estimated teacher FTE","38684786939748","37.7832867","-122.4231877","1055 ELLIS ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Saint Brigid Academy","2250 Franklin St., San Francisco, CA 94109","Private","Elementary/Middle School","","","","8.3","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","4.8 reported students per estimated teacher FTE","38684786981682","37.7950898","-122.424829","2250 FRANKLIN ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Saint Monica School","5950 Geary Boulevard, San Francisco, CA 94121","Private","Elementary/Middle School","","","","3.5","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","12.9 reported students per estimated teacher FTE","38684786980585","37.7802921","-122.4831481","5950 GEARY BLVD, SAN FRANCISCO, CA, 94121","US Census address match","US Census Geocoder Public_AR_Current","2026-09-22"
"San Francisco Christian School","25 Whittier Street, San Francisco, CA 94112","Private","K-12/Combined School","","","","2.4","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","15.7 reported students per estimated teacher FTE","38684786980692","37.710037","-122.4477542","25 WHITTIER ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"San Francisco Day School","350 Masonic Ave, San Francisco, CA 94118","Private","Elementary/Middle School","","","","6.9","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","6.7 reported students per estimated teacher FTE","38684786915748","37.7780425","-122.4462831","350 MASONIC AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"San Francisco Friends School","250 Valencia Street, San Francisco, CA 94103","Private","Elementary/Middle School","","","","6.8","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","6.8 reported students per estimated teacher FTE","38684786204762","37.768979","-122.4229082","250 VALENCIA ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"San Francisco Islamic School","55 Farallones Ave, San Francisco, CA 94112","Private","Elementary/Middle School","","","","4.6","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","10.5 reported students per estimated teacher FTE","38684786158539","37.7139263","-122.4543789","55 FARALLONES ST","DataSF normalized street match","DataSF Enterprise Addressing System","2026-09-21"
"San Francisco Pacific Academy","3301 Balboa Street, San Francisco, CA 94121","Private","Elementary/Middle School","","","","8.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","5.3 reported students per estimated teacher FTE","38684786146054","37.7757248","-122.4942764","3301 BALBOA ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"San Francisco School, The","300 Gaven Street, San Francisco, CA 94134","Private","Elementary/Middle School","","","","8.2","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","4.9 reported students per estimated teacher FTE","38684786980726","37.7327798","-122.4116979","300 GAVEN ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"San Francisco Schoolhouse","735 Fell Street, San Francisco, CA 94117","Private","Elementary/Middle School","","","","7.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","6.3 reported students per estimated teacher FTE","38684786143952","37.7746997","-122.4301528","735 FELL ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"San Francisco Waldorf School","2938 Washington St, San Francisco, CA 94115","Private","K-12/Combined School","","","","9.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","3.2 reported students per estimated teacher FTE","38684786907927","37.7907828","-122.4419102","2938 WASHINGTON ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"School of the Epiphany","600 Italy Avenue, San Francisco, CA 94112","Private","Elementary/Middle School","","","","2.2","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","16.4 reported students per estimated teacher FTE","38684786980734","37.7159123","-122.43439","600 ITALY AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"St. Anne School","1320 14Th Avenue, San Francisco, CA 94122","Private","Elementary/Middle School","","","","5.6","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","8.5 reported students per estimated teacher FTE","38684786981658","37.7630235","-122.4712842","1320 14TH AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"St. Anthony–Immaculate Conception","299 Precita Avenue, San Francisco, CA 94110","Private","Elementary/Middle School","","","","2.8","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","14.6 reported students per estimated teacher FTE","38684786981666","37.747323","-122.4137846","299 PRECITA AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"St. Brendan Elementary","940 Laguna Honda Boulevard, San Francisco, CA 94127","Private","Elementary/Middle School","","","","2.3","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","16.3 reported students per estimated teacher FTE","38684786981674","37.7431285","-122.4556261","940 LAGUNA HONDA BLVD","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"St. Cecilia Elementary","660 Vicente Street, San Francisco, CA 94116","Private","Elementary/Middle School","","","","1.8","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","18.1 reported students per estimated teacher FTE","38684786981690","37.7395017","-122.4739022","660 VICENTE ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"St. Finn Barr Catholic School","419 Hearst Avenue, San Francisco, CA 94112","Private","Elementary/Middle School","","","","2.6","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","15.3 reported students per estimated teacher FTE","38684786981740","37.730445","-122.4474112","419 HEARST AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"St. Gabriel Elementary School","2550 41St Avenue, San Francisco, CA 94116","Private","Elementary/Middle School","","","","2.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","16.8 reported students per estimated teacher FTE","38684786981765","37.7395639","-122.4986346","2550 41ST AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"St. John the Evangelist","925 Chenery Street, San Francisco, CA 94131","Private","Elementary/Middle School","","","","5.6","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","8.6 reported students per estimated teacher FTE","38684786139893","37.7348868","-122.4375293","925 CHENERY ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"St. Paul's","1690 Church Street, San Francisco, CA 94131","Private","Elementary/Middle School","","","","2.8","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","14.7 reported students per estimated teacher FTE","38684786980601","37.7439226","-122.4269266","1690 CHURCH ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"St. Peter's School","1266 Florida Street, San Francisco, CA 94110","Private","Elementary/Middle School","","","","1.8","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","18.1 reported students per estimated teacher FTE","38684786980619","37.7517237","-122.4101083","1266 FLORIDA ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"St. Philip School","665 Elizabeth Street, San Francisco, CA 94114","Private","Elementary/Middle School","","","","4.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","11.7 reported students per estimated teacher FTE","38684786980627","37.7517582","-122.4355377","665 ELIZABETH ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"St. Stephen School","401 Eucalyptus Drive, San Francisco, CA 94132","Private","Elementary/Middle School","","","","2.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","16.7 reported students per estimated teacher FTE","38684786980643","37.7308068","-122.4772971","401 EUCALYPTUS DR","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"St. Thomas More","50 Thomas More Way, San Francisco, CA 94132","Private","Elementary/Middle School","","","","2.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","16.9 reported students per estimated teacher FTE","38684786980650","37.7122538","-122.4731895","50 THOMAS MORE WAY","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"St. Vincent de Paul School","2350 Green Street, San Francisco, CA 94123","Private","Elementary/Middle School","","","","2","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","17.1 reported students per estimated teacher FTE","38684786980676","37.7961123","-122.4378542","2350 GREEN ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Stella Maris Academy","360 9Th Ave, San Francisco, CA 94118","Private","Elementary/Middle School","","","","6.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","7.7 reported students per estimated teacher FTE","38684786162598","37.7818323","-122.4670126","360 09TH AVE","DataSF normalized street match","DataSF Enterprise Addressing System","2026-09-21"
"Sterne School","838 Kearny Street, San Francisco, CA 94108","Private","K-12/Combined School","","","","6.6","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","7.0 reported students per estimated teacher FTE","38684786999379","37.7959019","-122.4049107","838 KEARNY ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Stratford School","301 De Montfort Avenue, San Francisco, CA 94112","Private","Elementary School","","","","5.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","9.4 reported students per estimated teacher FTE","38684786135651","37.7235437","-122.4616314","301 DE MONTFORT AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Stratford School","645 14Th Avenue, San Francisco, CA 94118","Private","Elementary School","","","","8.4","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","4.6 reported students per estimated teacher FTE","38684786159156","37.7759808","-122.4726468","645 14TH AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Stratford School San Francisco","75 Francis Street, San Francisco, CA 94112","Private","Middle School","","","","5","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","9.7 reported students per estimated teacher FTE","38684786156640","37.7273408","-122.4351445","75 FRANCIS ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Sts. Peter and Paul Elementary","660 Filbert Street, San Francisco, CA 94133","Private","Elementary/Middle School","","","","4.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","11.5 reported students per estimated teacher FTE","38684786980684","37.8013698","-122.4103492","660 FILBERT ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Synergy School","1387 Valencia Street, San Francisco, CA 94110","Private","Elementary/Middle School","","","","4.8","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","10.1 reported students per estimated teacher FTE","38684786905913","37.750885","-122.4203283","1387 VALENCIA ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"TCS","548 Market Street, No 41193, San Francisco, CA 94104","Private","K-12/Combined School","","","","10","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","0.5 reported students per estimated teacher FTE","38684786161921","37.7900566","-122.4007831","548 MARKET ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Terra San Francisco School","3801 Balboa St., San Francisco, CA 94121","Private","Elementary School","","","","8.6","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","4.2 reported students per estimated teacher FTE","38684786169163","37.775097","-122.4997732","3801 BALBOA ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"The Bay School of San Francisco","35 Keyes Ave, San Francisco, CA 94129","Private","High School","","","","4.9","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","9.8 reported students per estimated teacher FTE","38684786138176","37.8005806","-122.4558194","35 KEYES AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"The Brandeis School of San Francisco","655 Brotherhood Way, San Francisco, CA 94132","Private","Elementary/Middle School","","","","6.4","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","7.3 reported students per estimated teacher FTE","38684786152565","37.7133993","-122.4751934","655 BROTHERHOOD WAY","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"The International School of San Francisco","150 Oak Street, San Francisco, CA 94102","Private","K-12/Combined School","","","","6.2","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","7.6 reported students per estimated teacher FTE","38684786981195","37.7753339","-122.4216323","150 OAK ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"The Neos Bayview Academy","950 Gilman Ave., San Francisco, CA 94124","Private","Elementary School","","","","7.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","6.4 reported students per estimated teacher FTE","38684786170989","37.7179053","-122.3871042","950 GILMAN AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Town School for Boys","2750 Jackson Street, San Francisco, CA 94115","Private","Elementary/Middle School","","","","7.2","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","6.1 reported students per estimated teacher FTE","38684786980833","37.7920345","-122.4401294","2750 JACKSON ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Urban School of San Francisco","1563 Page Street, San Francisco, CA 94117","Private","High School","","","","5.4","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","8.9 reported students per estimated teacher FTE","38684786938930","37.7708317","-122.446349","1563 PAGE ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Urban Student Athlete Development Academy","799 Moscow St, San Francisco, CA 94112","Private","Middle School","","","","","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","No teachers reported; staffing proxy unavailable","38684786174122","37.7140459","-122.4292387","799 MOSCOW ST","Exact DataSF address; source ZIP differs","DataSF Enterprise Addressing System","2026-09-21"
"Wagner Learning Academy","50 Jones St. Apt #627, San Francisco, CA 94124","Private","Middle School","","","","5.2","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","9.3 reported students per estimated teacher FTE","38684786174940","37.7817632","-122.4120177","50 JONES ST","Exact DataSF address; source ZIP differs","DataSF Enterprise Addressing System","2026-09-21"
"Wen Jian Ying","259 Judson Avenue, San Francisco, CA 94112","Private","High School","","","","8.7","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","4.0 reported students per estimated teacher FTE","38684786203384","37.7280197","-122.447567","259 JUDSON AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"West Portal Lutheran School","200 Sloat Blvd, San Francisco, CA 94132","Private","Elementary/Middle School","","","","2.2","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","16.6 reported students per estimated teacher FTE","38684786980874","37.7350925","-122.4740028","200 SLOAT BLVD","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Zion Lutheran School","495 9Th Avenue, San Francisco, CA 94118","Private","Elementary/Middle School","","","","4.3","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","11.0 reported students per estimated teacher FTE","38684786980890","37.7792408","-122.4676334","495 09TH AVE","DataSF normalized street match","DataSF Enterprise Addressing System","2026-09-21"
