"school","address","public_vs_private","school_type","greatschools_rating","greatschools_rating_as_of","greatschools_profile_url","private_staffing_proxy_rating","private_staffing_proxy_basis","rating_notes","cds_code","latitude","longitude","geocode_matched_address","geocode_match_method","geocode_source","geocode_data_as_of"
"Huerta (Dolores) Elementary","65 Chenery St., San Francisco, CA 94131","Public","Elementary School","7","2026-09-22","https://www.greatschools.org/california/san-francisco/6364-Fairmount-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786040984","37.7403432","-122.4254489","65 CHENERY ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Independence High","1350 7th Ave., San Francisco, CA 94122","Public","High School","5","2026-09-22","https://www.greatschools.org/california/san-francisco/11136-Independence-High-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684783830197","37.7631839","-122.4640314","1350 7TH AVE, SAN FRANCISCO, CA, 94122","US Census address match","US Census Geocoder Public_AR_Current","2026-09-22"
"Jefferson Elementary","1725 Irving St., San Francisco, CA 94122","Public","Elementary School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/6384-Jefferson-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041230","37.763141","-122.476539","1725 IRVING ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Jordan (June) School for Equity","325 La Grande Ave., San Francisco, CA 94112","Public","High School","3","2026-09-22","https://www.greatschools.org/california/san-francisco/12283-Jordan-June-School-For-Equity/","","","Current GreatSchools rating retrieved 2026-09-22","38684780102103","37.7194999","-122.4253944","325 LA GRANDE AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Key (Francis Scott) Elementary","1530 43rd Ave., San Francisco, CA 94122","Public","Elementary School","9","2026-09-22","https://www.greatschools.org/california/san-francisco/6385-Key-Francis-Scott-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041008","37.7580977","-122.5019995","1530 43RD AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"King (Thomas Starr) Elementary","1215 Carolina St., San Francisco, CA 94107","Public","Elementary School","6","2026-09-22","https://www.greatschools.org/california/san-francisco/6435-King-Starr-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041602","37.7526865","-122.3987068","1215 CAROLINA ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"King Jr. (Martin Luther) Academic Middle","350 Girard St., San Francisco, CA 94134","Public","Middle School","3","2026-09-22","https://www.greatschools.org/california/san-francisco/6386-King-Jr.-Martin-Luther-Academic-Middle-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786059885","37.7277718","-122.4054868","350 GIRARD ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"KIPP Bayview Academy","1060 Key Ave., San Francisco, CA 94124","Public","Middle School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/12638-KIPP-Bayview-Academy/","","","Current GreatSchools rating retrieved 2026-09-22","38684780101337","37.7193509","-122.395958","1060 KEY AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"KIPP Bayview Elementary","948 Hollister Ave., San Francisco, CA 94124","Public","Elementary School","5","2026-09-22","https://www.greatschools.org/california/san-francisco/33328-KIPP-Bayview-Elementary/","","","Current GreatSchools rating retrieved 2026-09-22","38771310137307","37.7183602","-122.3895005","948 HOLLISTER AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"KIPP San Francisco Bay Academy","1430 Scott St. Third Fl., San Francisco, CA 94115","Public","Middle School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/12639-KIPP-San-Francisco-Bay-Academy/","","","Current GreatSchools rating retrieved 2026-09-22","38684780101352","37.7829896","-122.4376273","1430 SCOTT ST, SAN FRANCISCO, CA, 94115","US Census address match","US Census Geocoder Public_AR_Current","2026-09-22"
"KIPP San Francisco College Preparatory","1195 Hudson Ave., San Francisco, CA 94124","Public","High School","7","2026-09-22","https://www.greatschools.org/california/san-francisco/27281-KIPP-San-Francisco-College-Preparatory/","","","Current GreatSchools rating retrieved 2026-09-22","38684780127530","37.7323094","-122.3821776","1195 HUDSON AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Lafayette Elementary","4545 Anza St., San Francisco, CA 94121","Public","Elementary School","7","2026-09-22","https://www.greatschools.org/california/san-francisco/6387-Lafayette-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041305","37.7774747","-122.4971939","4545 ANZA ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Lakeshore Alternative Elementary","220 Middlefield Dr., San Francisco, CA 94132","Public","Elementary School","7","2026-09-22","https://www.greatschools.org/california/san-francisco/6388-Lakeshore-Alternative-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041321","37.7305732","-122.4858137","220 MIDDLEFIELD DR","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Lau (Gordon J.) Elementary","950 Clay St., San Francisco, CA 94108","Public","Elementary School","9","2026-09-22","https://www.greatschools.org/california/san-francisco/6389-Lau-Gordon-J.-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786040877","37.7940832","-122.4085856","950 CLAY ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Lawton Alternative","1570 31st Ave., San Francisco, CA 94122","Public","Elementary School","9","2026-09-22","https://www.greatschools.org/california/san-francisco/6390-Lawton-Alternative-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041339","37.7580507","-122.4890982","1570 31ST AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Lee (Edwin and Anita) Newcomer","657 Merchant St., San Francisco, CA 94111","Public","Elementary School","","2026-09-22","","","","No numeric GreatSchools rating found in the San Francisco directory as of 2026-09-22","38684786089569","37.7949088","-122.404063","657 MERCHANT ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Lick (James) Middle","1220 Noe St., San Francisco, CA 94114","Public","Middle School","2","2026-09-22","https://www.greatschools.org/california/san-francisco/6392-Lick-James-Middle-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786062053","37.749454","-122.4319426","1220 NOE ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Life Learning Academy Charter","651 Eighth St. Bldg. 229 Treasure Island, San Francisco, CA 94130","Public","High School","2","2026-09-22","https://www.greatschools.org/california/san-francisco/6393-Life-Learning-Academy-Charter/","","","Current GreatSchools rating retrieved 2026-09-22","38684783830429","37.8249813","-122.367697","651 8TH ST, SAN FRANCISCO, CA, 94130","US Census address match","US Census Geocoder Public_AR_Current","2026-09-22"
"Lilienthal (Claire) Elementary","3630 Divisadero St., San Francisco, CA 94123","Public","Elementary School","10","2026-09-22","https://www.greatschools.org/california/san-francisco/6394-Lilienthal-Claire-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786102479","37.8033168","-122.4428998","3630 DIVISADERO ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Lincoln (Abraham) High","2162 24th Ave., San Francisco, CA 94116","Public","High School","9","2026-09-22","https://www.greatschools.org/california/san-francisco/6395-Lincoln-Abraham-High-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684783833241","37.7472859","-122.481094","2162 24TH AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Longfellow Elementary","755 Morse St., San Francisco, CA 94112","Public","Elementary School","4","2026-09-22","https://www.greatschools.org/california/san-francisco/6396-Longfellow-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041362","37.7105655","-122.4470223","755 MORSE ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Lowell High","1101 Eucalyptus Dr., San Francisco, CA 94132","Public","High School","9","2026-09-22","https://www.greatschools.org/california/san-francisco/6397-Lowell-High-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684783833407","37.7306822","-122.4839163","1101 EUCALYPTUS DR","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Malcolm X Academy","350 Harbor Rd., San Francisco, CA 94124","Public","Elementary School","5","2026-09-22","https://www.greatschools.org/california/san-francisco/6398-Malcolm-X-Academy/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041586","37.7342158","-122.3810148","350 HARBOR RD","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Marina Middle","3500 Fillmore St., San Francisco, CA 94123","Public","Middle School","7","2026-09-22","https://www.greatschools.org/california/san-francisco/6400-Marina-Middle-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786062061","37.8018258","-122.4354811","3500 FILLMORE ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Marshall (Thurgood) High","45 Conkling St., San Francisco, CA 94124","Public","High School","2","2026-09-22","https://www.greatschools.org/california/san-francisco/6404-Marshall-Thurgood-High-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684783830403","37.7360924","-122.4021107","45 CONKLING ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Marshall Elementary","1575 15th St., San Francisco, CA 94103","Public","Elementary School","2","2026-09-22","https://www.greatschools.org/california/san-francisco/6403-Marshall-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041412","37.7666182","-122.4190557","1575 15TH ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"McCoppin (Frank) Elementary","651 Sixth Ave., San Francisco, CA 94118","Public","Elementary School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/6406-Mccoppin-Frank-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041016","37.7763114","-122.4644802","651 06TH AVE","DataSF normalized street match","DataSF Enterprise Addressing System","2026-09-21"
